created_at,entry_id,pH,Temp (C) ,TDS ppm/L,TU (NTU)
2026-04-06 06:53:08 UTC,238,1.98,72.34,1.74,66.96
2026-04-06 06:53:27 UTC,239,1.76,66.47,287.20001,2879.8501
2026-04-06 06:53:45 UTC,240,1.76,66.96,2,72.83
2026-04-06 06:54:04 UTC,241,1.98,72.83,302.69,2860.8999
2026-04-06 06:54:23 UTC,242,1.98,72.83,1.78,67.45
2026-04-06 06:54:41 UTC,243,1.74,66.47,287.20001,2872.42993
2026-04-06 06:55:00 UTC,244,1.74,66.96,1.76,66.47
2026-04-06 06:55:18 UTC,245,1.97,72.83,299.23001,2856.94995
2026-04-06 06:55:37 UTC,246,1.97,72.34,1.97,72.34
2026-04-06 06:55:55 UTC,247,1.74,66.47,285.48999,2876.16992
2026-04-06 06:56:14 UTC,248,1.74,66.47,1.97,72.83
2026-04-06 06:56:33 UTC,249,1.74,66.47,285.48999,2879.8501
2026-04-06 06:56:51 UTC,250,1.76,66.96,1.98,72.83
