created_at,entry_id,pH,Temp ©,TDS ppm/L,TU (NTU)
2026-04-06 08:08:00 UTC,440,2.41,82.6,339.42001,82.6
2026-04-06 08:08:19 UTC,441,2.1,74.78,320.06,2752.12012
2026-04-06 08:08:36 UTC,442,2.33,80.16,334.12,2702.1001
2026-04-06 08:08:55 UTC,443,2.33,81.13,332.32001,80.16
2026-04-06 08:09:13 UTC,444,2.33,79.67,330.59,2752.07007
2026-04-06 08:09:32 UTC,445,2.33,79.67,330.51999,73.31
2026-04-06 08:09:50 UTC,446,2.05,71.85,314.82999,2702.04004
2026-04-06 08:10:08 UTC,447,2.34,74.78,316.51999,71.85
2026-04-06 08:10:27 UTC,448,2.02,70.87,311.35001,2642.02002
2026-04-06 08:10:46 UTC,449,2.02,71.36,313.01999,70.87
2026-04-06 08:11:04 UTC,450,2.09,73.8,314.82999,2712.09009
2026-04-06 08:11:22 UTC,451,2.07,74.29,314.82001,73.31
2026-04-06 08:11:44 UTC,452,2.07,72.83,314.82999,2722.07007
2026-04-06 08:12:02 UTC,453,2.07,73.31,313.01999,80.16
2026-04-06 08:12:21 UTC,454,2.07,73.31,313.09,2750
2026-04-06 08:12:39 UTC,455,2.36,81.13,328.82999,2740.77002
2026-04-06 08:12:58 UTC,456,2.34,80.65,328.82999,2740.77002
2026-04-06 08:13:16 UTC,457,2.33,79.18,327.07001,2719.08008
2026-04-06 08:13:34 UTC,458,2.33,80.16,327.07001,2713.52002
2026-04-06 08:13:53 UTC,459,2.34,80.16,327.07001,2740.77002
2026-04-06 08:14:11 UTC,460,2.34,80.16,327.07001,2740.77002
2026-04-06 08:14:30 UTC,461,2.09,74.29,311.35001,2771.70996
2026-04-06 08:14:49 UTC,462,2.34,80.16,328.82999,2740.77002
2026-04-06 08:15:08 UTC,463,2.09,73.31,311.35001,2766.67993
2026-04-06 08:15:26 UTC,464,2.34,80.65,327.07001,2735.42993
2026-04-06 08:15:41 UTC,465,2.34,80.162,80.16,328.82999
2026-04-06 08:16:00 UTC,466,2.33,79.672,73.31,311.35001
2026-04-06 08:16:18 UTC,467,2.05,73.312,73.31,311.35001
2026-04-06 08:16:36 UTC,468,2.33,79.672,72.83,309.60999
2026-04-06 08:16:55 UTC,469,2.05,73.312,79.67,325.31
2026-04-06 08:17:13 UTC,470,2.33,79.672,79.67,327.07001
2026-04-06 08:17:31 UTC,471,2.05,72.832,80.65,327.07001
2026-04-06 08:17:51 UTC,472,2.07,72.832,80.16,325.31
2026-04-06 08:18:09 UTC,473,2.05,72.342,79.18,325.31
2026-04-06 08:18:28 UTC,474,2.05,72.342,79.18,325.31
2026-04-06 08:18:47 UTC,475,2.05,72.832,79.18,323.56
2026-04-06 08:19:05 UTC,476,2.05,72.342,79.18,325.31
2026-04-06 08:19:24 UTC,477,2.05,72.342,79.18,325.31
2026-04-06 08:19:42 UTC,478,2.31,78.692,78.69,325.31
2026-04-06 08:20:01 UTC,479,2.02,70.382,71.36,306.14001
2026-04-06 08:20:20 UTC,480,2.28,77.222,70.87,307.88
2026-04-06 08:20:38 UTC,481,2.28,78.202,78.2,323.56
2026-04-06 08:20:57 UTC,482,2.29,78.202,78.2,323.56
2026-04-06 08:21:15 UTC,483,2.33,78.202,78.2,323.56
2026-04-06 08:21:34 UTC,484,2.29,78.202,78.2,321.81
2026-04-06 08:21:52 UTC,485,2.29,78.202,71.85,306.14001
